model,feature,importance
cat_behavior_d5,late_recency_weighted,0.0402735777161
cat_behavior_d5,v2_late2_recent2_count,0.0316742102756
cat_behavior_d5,v2_late2_months_since_latest,0.0294863679024
cat_behavior_d5,PAY_0,0.0253018085506
cat_behavior_d5,v2_credit_headroom_latest,0.0240612413321
cat_behavior_d5,v2_recent_late_utilization,0.0203397501013
cat_behavior_d5,v2_late2_recent_run,0.0194655866489
cat_behavior_d5,v2_cashflow_proxy_mean_5,0.0184909208902
cat_behavior_d5,v2_overdue_recent2_mean,0.0177895456781
cat_behavior_d5,v2_credit_headroom_min,0.0177844569374
cat_behavior_d5,bill_change_plus_payment_proxy_1,0.0175908096881
cat_behavior_d5,v2_cashflow_proxy_std_5,0.0163895703392
cat_behavior_d5,AGE,0.0147493770023
cat_behavior_d5,signed_log_LIMIT_BAL,0.0139185343847
cat_behavior_d5,bill_std,0.0132069062879
cat_behavior_d5,payment_total_to_bill_total,0.0131035616024
cat_behavior_d5,late_count_6,0.0121745298382
cat_behavior_d5,v2_cashflow_proxy_mean_2,0.0120713769187
cat_behavior_d5,late_sum_6,0.0118664030303
cat_behavior_d5,v2_utilization_recent2_mean,0.0113532661235
cat_behavior_d5,v2_cashflow_proxy_relative_variation,0.0111847606854
cat_behavior_d5,v2_overdue_recent_minus_previous_max,0.0107740538338
cat_behavior_d5,v2_bill_change_plus_payment_to_limit_3,0.01076673551
cat_behavior_d5,MARRIAGE,0.0106567151473
cat_behavior_d5,v2_zero_payment_positive_older_bill_count,0.0104677123738
cat_behavior_d5,v2_cashflow_proxy_std_2,0.00975095496269
cat_behavior_d5,bill_mean,0.00951777064844
cat_behavior_d5,v2_uncovered_older_bill_to_limit_1,0.00917587432671
cat_behavior_d5,LIMIT_BAL,0.00906079225316
cat_behavior_d5,v2_paid_share_recent_minus_old,0.0088747115961
cat_behavior_d5,EDUCATION,0.00772552829967
cat_behavior_d5,v2_overdue_std,0.00737365955565
cat_behavior_d5,v2_uncovered_older_bill_to_limit_2,0.00732200333194
cat_behavior_d5,v2_bill_recent2_mean,0.00698095314669
cat_behavior_d5,payment_max,0.00681157962254
cat_behavior_d5,v2_uncovered_older_bill_mean_to_limit_2,0.0065819654422
cat_behavior_d5,severe_late_count_3,0.00655360244645
cat_behavior_d5,payment_recent3_mean,0.00639166050529
cat_behavior_d5,v2_bill_change_plus_payment_to_limit_2,0.00637656864844
cat_behavior_d5,v2_repayment_ratio_active_mean_2,0.00634242018803
cat_behavior_d5,status_-1_count_3,0.00618227964422
cat_behavior_d5,signed_log_BILL_AMT1,0.00609173492811
cat_behavior_d5,v2_payment_multiple_1000_count,0.00608565393922
cat_behavior_d5,bill_relative_variation,0.00582861047297
cat_behavior_d5,v2_payment_recent2_mean,0.00571927666419
cat_behavior_d5,PAY_AMT2,0.00571106180493
cat_behavior_d5,v2_utilization_over_50pct_count,0.00566812009584
cat_behavior_d5,payment_mean,0.00554791445434
cat_behavior_d5,bill_to_limit_3,0.00548914408193
cat_behavior_d5,v2_late1_months_since_latest,0.00546326139354
cat_behavior_d5,status_-1_count_6,0.00519117499275
cat_behavior_d5,v2_utilization_recent_minus_old3,0.00516854539778
cat_behavior_d5,BILL_AMT1,0.00515577253854
cat_behavior_d5,payment_delta_4_5,0.00513734066882
cat_behavior_d5,signed_log_BILL_AMT2,0.00511966250352
cat_behavior_d5,education_unmapped,0.00500089641714
cat_behavior_d5,payment_min,0.00500085299825
cat_behavior_d5,payment_bill_same_index_ratio_3,0.0049934999563
cat_behavior_d5,v2_paid_under_2pct_count_5,0.00471218199054
cat_behavior_d5,payment_bill_same_index_ratio_5,0.00470666447876
cat_behavior_d5,PAY_AMT3,0.00462953312897
cat_behavior_d5,bill_mean_to_limit,0.00462345528262
cat_behavior_d5,bill_to_limit_1,0.00462290962464
cat_behavior_d5,v2_paid_share_mean_5,0.00459376613075
cat_behavior_d5,bill_change_plus_payment_proxy_2,0.00445890965846
cat_behavior_d5,payment_max_to_limit,0.00428423919609
cat_behavior_d5,v2_cashflow_proxy_mean_to_limit_2,0.00420733364185
cat_behavior_d5,bill_to_limit_6,0.00415945270831
cat_behavior_d5,bill_change_plus_payment_proxy_5,0.00415637900471
cat_behavior_d5,v2_bill_range_to_limit,0.00415539513187
cat_behavior_d5,bill_delta_3_4,0.00405971196494
cat_behavior_d5,bill_latest_minus_oldest,0.00400301863728
cat_behavior_d5,BILL_AMT5,0.00400056943112
cat_behavior_d5,payment_to_limit_4,0.00397000594527
cat_behavior_d5,v2_paid_share_mean_2,0.00389604926675
cat_behavior_d5,payment_relative_variation,0.0038570589617
cat_behavior_d5,severe_late_count_6,0.00383994478782
cat_behavior_d5,PAY_6,0.00382858739777
cat_behavior_d5,signed_log_PAY_AMT4,0.0038195467891
cat_behavior_d5,PAY_AMT4,0.00380164650822
cat_behavior_d5,bill_to_limit_2,0.00375575877906
cat_behavior_d5,v2_late2_new_recent,0.00373225807363
cat_behavior_d5,payment_older_bill_ratio_2,0.00369922740167
cat_behavior_d5,v2_cashflow_proxy_mean_to_limit_5,0.00366241868229
cat_behavior_d5,bill_to_limit_5,0.00358442085844
cat_behavior_d5,bill_change_plus_payment_proxy_4,0.00357266397864
cat_behavior_d5,payment_std,0.00353427971815
cat_behavior_d5,signed_log_PAY_AMT6,0.00351640457668
cat_behavior_d5,status_improving_count,0.00348774088399
cat_behavior_d5,v2_paid_share_older_bill_2,0.00347556967688
cat_behavior_d5,PAY_AMT6,0.0034706459497
cat_behavior_d5,status_delta_1_2,0.00339548089071
cat_behavior_d5,late_max_6,0.00338024651128
cat_behavior_d5,payment_recent_minus_old3,0.00337811816843
cat_behavior_d5,v2_cashflow_proxy_to_payment_mean,0.00337803206212
cat_behavior_d5,bill_delta_4_5,0.00327768687682
cat_behavior_d5,v2_bill_change_plus_payment_to_limit_1,0.00323898182658
cat_behavior_d5,PAY_AMT5,0.00323680498067
cat_behavior_d5,late_count_3,0.00321802444089
cat_behavior_d5,status_0_count_6,0.00320874236368
cat_behavior_d5,payment_bill_same_index_ratio_4,0.00313973433235
cat_behavior_d5,v2_overdue_recent_minus_old3,0.00308516191134
cat_behavior_d5,v2_repayment_ratio_active_mean_5,0.00307338924589
cat_behavior_d5,payment_bill_same_index_ratio_1,0.0030363815687
cat_behavior_d5,payment_delta_5_6,0.00301973413007
cat_behavior_d5,bill_delta_5_6,0.00298352583581
cat_behavior_d5,signed_log_BILL_AMT3,0.0029671061161
cat_behavior_d5,v2_late1_resolved_episode_count,0.00295869373767
cat_behavior_d5,payment_mean_to_limit,0.00295139235566
cat_behavior_d5,payment_latest_minus_oldest,0.00294290964351
cat_behavior_d5,bill_max_to_limit,0.00291316160631
cat_behavior_d5,bill_delta_1_2,0.00289318790646
cat_behavior_d5,v2_uncovered_older_bill_to_limit_4,0.00282506031119
cat_behavior_d5,v2_late2_resolved_recent,0.00280780319827
cat_behavior_d5,v2_paid_share_older_bill_5,0.00275893312321
cat_behavior_d5,payment_delta_2_3,0.00273232788662
cat_behavior_d5,payment_to_limit_5,0.00268910903898
cat_behavior_d5,payment_delta_1_2,0.00266273268676
cat_behavior_d5,bill_recent3_mean,0.00264652586821
cat_behavior_d5,bill_to_limit_4,0.00260100306836
cat_behavior_d5,SEX,0.002564583218
cat_behavior_d5,bill_change_plus_payment_proxy_3,0.00256216380425
cat_behavior_d5,status_worsening_count,0.00255530502812
cat_behavior_d5,v2_paid_share_older_bill_4,0.00251966369082
cat_behavior_d5,signed_log_PAY_AMT3,0.00251907914205
cat_behavior_d5,bill_min,0.00248803226228
cat_behavior_d5,v2_cashflow_proxy_recent_minus_old,0.0024310358792
cat_behavior_d5,v2_uncovered_older_bill_to_limit_3,0.0024192606345
cat_behavior_d5,v2_bill_change_plus_payment_to_limit_4,0.00240534009937
cat_behavior_d5,v2_paid_under_2pct_count_2,0.00239254700456
cat_behavior_d5,payment_to_limit_2,0.00235381365889
cat_behavior_d5,bill_delta_2_3,0.00232313122899
cat_behavior_d5,status_delta_4_5,0.00229687028658
cat_behavior_d5,payment_linear_trend,0.00228923322498
cat_behavior_d5,v2_bill_growing_recent_run,0.0022743730083
cat_behavior_d5,payment_older_bill_ratio_1,0.00224943982164
cat_behavior_d5,signed_log_PAY_AMT5,0.00223850849878
cat_behavior_d5,payment_older_bill_ratio_5,0.00223746330592
cat_behavior_d5,v2_late2_resolved_episode_count,0.00221560325319
cat_behavior_d5,signed_log_BILL_AMT4,0.00219625574069
cat_behavior_d5,v2_utilization_latest_minus_oldest,0.0021826819945
cat_behavior_d5,v2_bill_change_plus_payment_to_limit_5,0.00217539534124
cat_behavior_d5,v2_over_limit_amount_mean,0.00215188055019
cat_behavior_d5,BILL_AMT6,0.00215023605369
cat_behavior_d5,v2_late1_recent_run,0.00214254509815
cat_behavior_d5,late_max_3,0.0021363047508
cat_behavior_d5,payment_to_limit_6,0.00209442754607
cat_behavior_d5,v2_utilization_over_80pct_count,0.00209264198468
cat_behavior_d5,signed_log_BILL_AMT5,0.00208467043332
