candidate,candidate_weight,development_oof_log_loss,gain_vs_selected,correlation_with_selected
xgb_behavior_d3,0.163546649444,0.421455383893,5.1640455168e-05,0.991658303105
lgb_behavior_l15,0.139854797406,0.421475800666,3.12236820684e-05,0.993025848826
lgb_compact_l15,0.109200119241,0.421477253736,2.97706120344e-05,0.989645830464
cat_behavior_status_categories,0.150854420958,0.421480219403,2.68049446672e-05,0.99497612561
cat_behavior_d6,0.120754387895,0.421486827428,2.01969201934e-05,0.994137537563
cat_compact_ordered,0.0801980017508,0.421488161356,1.88629917602e-05,0.987894204811
cat_behavior_d4,0.0857068321186,0.421497179659,9.84468882886e-06,0.994470663024
xgb_compact_d3,0.0484432665938,0.42150039969,6.62465806295e-06,0.988289405
lgb_engineered_l15,5.96086098655e-06,0.421507024517,-1.69412261997e-10,0.991770191541
xgb_engineered_d3,5.96086098655e-06,0.421507024874,-5.25621712821e-10,0.98969061452
cat_compact_status_categories,5.96086098655e-06,0.421507025331,-9.83341130745e-10,0.990436770241
