candidate,fold,feature_count,best_iteration,cat_log_loss,cat_roc_auc,runtime_seconds
trajectory,0,228,279,0.426897829638,0.79145908979,3.64559037494
trajectory,1,228,338,0.410899971117,0.80747002255,4.02986566699
trajectory,2,228,525,0.425751343131,0.785416884139,5.52401758404
trajectory,3,228,428,0.426875501301,0.781344442277,4.67958562507
trajectory,4,228,299,0.420906241228,0.793374832106,3.70473025006
coverage,0,228,354,0.427430212892,0.790220554052,4.12051100004
coverage,1,228,194,0.410139217804,0.808772524956,2.94373579195
coverage,2,228,482,0.426875747559,0.78421038432,5.30835379206
coverage,3,228,284,0.42823760371,0.778446133665,3.71755687497
coverage,4,228,270,0.420786526093,0.79324018907,3.61614641699
trends,0,227,336,0.427375824551,0.790595162004,4.17397304205
trends,1,227,470,0.410983199007,0.806716525411,5.18992329098
trends,2,227,706,0.426121341833,0.784623771249,7.00179670902
trends,3,227,355,0.427275238874,0.780246222057,4.26710654201
trends,4,227,277,0.421587287928,0.792632343147,3.66241362505
bands,0,224,324,0.427000124063,0.790135936726,6.09166779194
bands,1,224,316,0.411249036383,0.807035855081,5.95846554206
bands,2,224,398,0.426208436791,0.78419096938,7.01960829098
bands,3,224,420,0.427357440319,0.780255671009,7.30151662498
bands,4,224,248,0.421108541217,0.793740975516,5.31274937501
interactions,0,220,288,0.426492229017,0.791869332717,3.83222924999
interactions,1,220,413,0.41112893765,0.806926557702,4.88019329193
interactions,2,220,402,0.426293939265,0.784212653599,4.69260287494
interactions,3,220,317,0.427555350041,0.779827318508,4.07771741704
interactions,4,220,271,0.421721683952,0.792101831951,3.65982441697
all_numeric,0,253,418,0.427671186422,0.790199525639,5.10083941708
all_numeric,1,253,310,0.410758605886,0.807269434157,4.32347770908
all_numeric,2,253,486,0.425986322325,0.785479415373,6.01173199993
all_numeric,3,253,445,0.427791734074,0.780036959262,5.58643345803
all_numeric,4,253,285,0.421904273459,0.792181181916,4.11550816696
all_no_interactions,0,262,225,0.426920795044,0.78984128711,6.34454870806
all_no_interactions,1,262,299,0.410635878991,0.807796529582,6.8436164161
all_no_interactions,2,262,417,0.425040540166,0.786624644669,9.278579709
all_no_interactions,3,262,692,0.426232489681,0.782755359824,12.385877792
all_no_interactions,4,262,276,0.421521042221,0.792905029931,6.18428558391
all_features,0,267,283,0.427308685371,0.79000510726,6.40532304195
all_features,1,267,329,0.410536606928,0.808406983146,7.24967712502
all_features,2,267,392,0.426048129774,0.784508794463,7.93506499997
all_features,3,267,327,0.427482482709,0.779836641475,6.88914916595
all_features,4,267,264,0.421891260178,0.792448956561,5.939280333
