candidate,seed,fold,best_iteration,cat_log_loss,runtime_seconds
trajectory,137,0,277,0.42754966998,3.62410675001
trajectory,137,1,350,0.411206279027,4.0585532909
trajectory,137,2,436,0.425363390714,4.75224850001
trajectory,137,3,525,0.426157665747,5.52330587502
trajectory,137,4,309,0.420787070496,3.87209404202
trajectory,4099,0,315,0.426964537119,3.94781200006
trajectory,4099,1,328,0.410547124834,4.08898562507
trajectory,4099,2,607,0.424135328105,6.48423029203
trajectory,4099,3,390,0.427255856503,4.69919833296
trajectory,4099,4,333,0.421035542761,4.281873125
trajectory,7919,0,367,0.427926404146,4.45795779105
trajectory,7919,1,288,0.411989398025,3.88094841701
trajectory,7919,2,331,0.426399048569,4.26048179204
trajectory,7919,3,377,0.427831764615,4.66799679107
trajectory,7919,4,265,0.4214058577,3.808123291
all_no_interactions,137,0,271,0.427048273824,5.77785270801
all_no_interactions,137,1,447,0.411620378697,8.16134570795
all_no_interactions,137,2,684,0.425297181553,11.5230922081
all_no_interactions,137,3,392,0.426960378073,7.54115920793
all_no_interactions,137,4,231,0.422361988112,5.42299866606
all_no_interactions,4099,0,228,0.427221721075,5.42293400003
all_no_interactions,4099,1,603,0.410484179803,10.4568790001
all_no_interactions,4099,2,722,0.425558314681,12.142811541
all_no_interactions,4099,3,295,0.426471870645,6.33507337503
all_no_interactions,4099,4,256,0.421481499417,6.05251766602
all_no_interactions,7919,0,296,0.426530815045,6.38145308406
all_no_interactions,7919,1,414,0.411046846365,8.41392658302
all_no_interactions,7919,2,597,0.425256472618,11.1363421669
all_no_interactions,7919,3,520,0.426955931028,9.4559675419
all_no_interactions,7919,4,242,0.421084591015,5.58375375008
