outer_fold,inner_fold,training_rows,validation_rows,best_iteration,inner_log_loss,runtime_seconds
0,1,14398,4801,284,0.412230788405,2.92607499997
0,2,14400,4799,614,0.42613766755,4.86917141697
0,3,14400,4799,405,0.428752010624,3.63030916697
0,4,14399,4800,340,0.420885389584,3.2770199161
1,0,14398,4801,261,0.428920303084,2.86332216591
1,2,14400,4799,523,0.426571661595,4.54992795805
1,3,14400,4799,570,0.42713500114,4.86789766606
1,4,14399,4800,279,0.421063436763,2.99977612507
2,0,14400,4801,391,0.427453803825,3.73093716591
2,1,14400,4801,268,0.411517387719,2.96589258302
2,3,14402,4799,213,0.429057231902,2.64811345795
2,4,14401,4800,247,0.422861866092,2.81497924996
3,0,14400,4801,295,0.427705581494,3.36254183296
3,1,14400,4801,361,0.410911916246,3.84660404106
3,2,14402,4799,566,0.427712083813,5.08360833302
3,4,14401,4800,289,0.420890361824,3.17353987508
4,0,14399,4801,296,0.427718309072,3.19476354204
4,1,14399,4801,246,0.411548731685,2.87430375
4,2,14401,4799,577,0.427309302706,5.03247933299
4,3,14401,4799,315,0.427492161559,3.34699608397
