outer_fold,policy,inner_best_iterations,selected_iterations,fitted_iterations,training_rows,validation_rows,cat_log_loss,runtime_seconds
0,inner_median,"284,614,405,340",372,372,19199,4801,0.427668918226,2.74628770805
0,inner_mean,"284,614,405,340",411,411,19199,4801,0.427704083675,3.05456466705
0,inner_p75,"284,614,405,340",457,457,19199,4801,0.42774811711,3.42177329096
0,archive_fixed_437,"284,614,405,340",437,437,19199,4801,0.427788865774,3.30007175007
1,inner_median,"261,523,570,279",401,401,19199,4801,0.411123886334,3.09702633298
1,inner_mean,"261,523,570,279",408,408,19199,4801,0.411140661639,3.14021929202
1,inner_p75,"261,523,570,279",535,535,19199,4801,0.41130368174,4.15813908295
1,archive_fixed_437,"261,523,570,279",437,437,19199,4801,0.411117812403,3.35427758307
2,inner_median,"391,268,213,247",258,258,19201,4799,0.42746294723,2.03168783302
2,inner_mean,"391,268,213,247",280,280,19201,4799,0.427242732271,2.19919266691
2,inner_p75,"391,268,213,247",299,299,19201,4799,0.42722994887,2.32866237499
2,archive_fixed_437,"391,268,213,247",437,437,19201,4799,0.426562468578,3.429713708
3,inner_median,"295,361,566,289",328,328,19201,4799,0.427901224798,2.5900045
3,inner_mean,"295,361,566,289",378,378,19201,4799,0.427838711128,2.98037216696
3,inner_p75,"295,361,566,289",412,412,19201,4799,0.427586340576,3.255786667
3,archive_fixed_437,"295,361,566,289",437,437,19201,4799,0.427899814092,3.43202633294
4,inner_median,"296,246,577,315",306,306,19200,4800,0.421172399106,2.44465983403
4,inner_mean,"296,246,577,315",358,358,19200,4800,0.42133249988,2.85594154196
4,inner_p75,"296,246,577,315",380,380,19200,4800,0.421354815405,3.01586991607
4,archive_fixed_437,"296,246,577,315",437,437,19200,4800,0.421478705564,3.43661104201
