client_id,fold
CC_0000F52C3717,0
CC_0008C4E44BB9,4
CC_000B4B1BEDF6,4
CC_000D492CE7AD,0
CC_000DCFA992C4,0
CC_001122E39690,1
CC_00117B7E053B,3
CC_00135124F0C3,2
CC_0016CFCF14C4,4
CC_001740B14C72,1
CC_001938053246,3
CC_0019E3DC239C,0
CC_001C3594F76E,3
CC_001CE8624267,1
CC_001F84E88060,0
CC_00205A472499,0
CC_00293A354886,0
CC_002B838F0462,1
CC_002C0A6A79A3,2
CC_002D38C9B16D,4
CC_002EC26F87BF,1
CC_002FBC1547AE,1
CC_00308EC6F3D4,2
CC_00324544DD9F,2
CC_003C4B7BE7F8,1
CC_004006D91D8D,3
CC_0041A03EFFB6,2
CC_00428A82437E,3
CC_0045073BC11F,0
CC_00467B1D8D89,0
CC_004713654049,3
CC_00471F46B9F4,0
CC_004B878F25C2,0
CC_004BB26042C5,2
CC_004D8E72230C,0
CC_004DB3A3C70B,0
CC_004FD1D5A61B,4
CC_004FE57C56C8,1
CC_005704951586,0
CC_00643E369290,1
CC_0066D98BB9EF,4
CC_00690BCC3766,3
CC_006D26E11173,3
CC_006F0424BA0C,2
CC_0072F2F08542,2
CC_00751D910DFF,4
CC_00755CE7B990,3
CC_007590841E7C,0
CC_007B612BB240,3
CC_007EC791ED3A,3
CC_00876B84BC7E,3
CC_0088A324D676,4
CC_008B5E945701,0
CC_008D56B4B41A,2
CC_00951B5D39A6,3
CC_0099AC551369,0
CC_009A2F903E8F,2
CC_009F373F58EE,3
CC_00A1B6A0BFE5,4
CC_00A651F1CA9E,2
CC_00A6C7E23295,2
CC_00AA4D8EAFFF,3
CC_00AD510EB5AB,0
CC_00B149CC3832,0
CC_00B24C240296,4
CC_00B2A863966B,0
CC_00B6D231C4E0,4
CC_00BA0D9C9769,4
CC_00BA4B9A3ED4,2
CC_00BD978274C9,1
CC_00BDFB856C9E,1
CC_00BECFD0FF29,2
CC_00BFC5461053,1
CC_00C4D8C18438,2
CC_00CA157239FF,3
CC_00CA34BC997D,4
CC_00CEA7AD7F1A,4
CC_00D5C2A06551,1
CC_00D6CDAC726A,0
CC_00D856A03DBF,1
CC_00D9F83C9E93,4
CC_00DFC64809D6,2
CC_00E0387FBC9E,1
CC_00E1D1D2993D,3
CC_00E6521C30BB,4
