candidate,fold,log_loss,roc_auc
current,0,0.426498927663,0.789915956863
current,1,0.40991687327,0.808147716667
current,2,0.423626028036,0.788347405382
current,3,0.42631165458,0.781232062739
current,4,0.420505680737,0.793232254073
seed_bagged_challenger,0,0.426314820801,0.790290942572
seed_bagged_challenger,1,0.409654557974,0.808743059994
seed_bagged_challenger,2,0.423464816139,0.788585175357
seed_bagged_challenger,3,0.425997731897,0.781628162816
seed_bagged_challenger,4,0.42026018171,0.79351212014
